Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Do you use Twitter?,,In a typical day how many times do you check your Twitter feed?,,,"As of today, have you Tweeted more than 100 times? Number of tweets is shown on your Twitter home page)",,What is your Twitter screen name (on your Twitter home page it looks like this: @screen_name)?,"Please, take the Myers-Briggs (MBTI) personality test:https://www.truity.com/test/type-finder-personality-test-new You DO not need to pay or register to take this basic test!",,What is your MBTI personality type according to the test,,,,,,,,,,,,,,,,What is your age?,,,,,,What is your gender?,,,Which race/ethnicity best describes you? (Please choose only one.),,,,,,Age,,,,,Gender,,Household Income,,,,,,,,,,,Region,,,,,,,,,Device Type,,,,,
,,,,,,,,,Yes,No,0 - 3,4 - 6,more than  7,Yes,No,Open-Ended Response,I have taken the test,I have not taken the test,ISTJ (The Inspector),ISFJ (The Nurturer),INFJ (The Counselor),INTJ (The Mastermind),ISTP (The Craftsman),ISFP (The Composer),INFP (The Idealist),INTP (The Thinker),ESTP (The Doer),ESFP (The Performer),ENFP (The Champion),ENTP (The Visionary),ESTJ (The Supervisor),ESFJ (The Provider),ENFJ (The Giver),ENTJ (The Commander),18 to 24,25 to 34,35 to 44,45 to 54,55 and older,Prefer not to tell.,Female,Male,Other,American Indian or Alaskan Native,Asian / Pacific Islander,Black or African American,Hispanic,White / Caucasian,Multiple ethnicity / Other (please specify),< 18,18-29,30-44,45-60,> 60,Male,Female,"$0-$9,999","$10,000-$24,999","$25,000-$49,999","$50,000-$74,999","$75,000-$99,999","$100,000-$124,999","$125,000-$149,999","$150,000-$174,999","$175,000-$199,999","$200,000+",Prefer not to answer,New England,Middle Atlantic,East North Central,West North Central,South Atlantic,East South Central,West South Central,Mountain,Pacific,iOS Phone / Tablet,Android Phone / Tablet,Other Phone / Tablet,Windows Desktop / Laptop,MacOS Desktop / Laptop,Other
10819940177,239043041,06/24/2019 03:51:02 PM,06/24/2019 03:51:11 PM,172.58.37.182,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10819839654,239043041,06/24/2019 02:52:21 PM,06/24/2019 02:52:30 PM,172.58.39.148,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10819834518,239043041,06/24/2019 02:49:27 PM,06/24/2019 02:49:57 PM,192.247.43.4,,,,,Yes,,,4 - 6,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10819834498,239043041,06/24/2019 02:49:32 PM,06/24/2019 02:50:02 PM,76.77.188.10,,,,,Yes,,,4 - 6,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10819833683,239043041,06/24/2019 02:49:05 PM,06/24/2019 02:49:13 PM,73.71.231.169,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10819788533,239043041,06/24/2019 02:26:08 PM,06/24/2019 02:27:05 PM,174.214.13.55,,,,,Yes,,0 - 3,,,Yes,,@nishas,I have taken the test,,,,,,,,,,,,,,,,ENFJ (The Giver),,18 to 24,,,,,,Female,,,,,,,,South Asian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10819781066,239043041,06/24/2019 02:22:14 PM,06/24/2019 02:22:35 PM,73.70.48.148,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10819170876,239043943,06/24/2019 10:02:54 AM,06/24/2019 10:03:45 AM,,,,,5d646e3a12e3024bb63c7a73e4,Yes,,0 - 3,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
