,MBTI,created_prof,user_screen_name,tweets,id_,loc,descr,prot,followers,follow,friends,fav,timeZ,geo_en,prof_bg_col,prof_bkim_url,prof_image_url
0,ENFJ,,BillTooke,,,"New York, USA",,,,,,,,,,,http://pbs.twimg.com/profile_images/807063431471894529/4ih5taid_normal.jpg
1,ENFJ,,dougie0216,,,"Country Aire - Elgin, Oklahoma",,,,,,,,,,,http://pbs.twimg.com/profile_images/1126179691986132997/Yw-9sxWx_normal.jpg
2,ENFJ,,kimbetech,,,"Tampa, FL",,,,,,,,,,,http://pbs.twimg.com/profile_images/1101342873004449793/AKdMb82Y_normal.jpg
3,ENFJ,,honeyBklein,,,"The Real World, USA",,,,,,,,,,,http://pbs.twimg.com/profile_images/1130313304260395009/KOt1P72T_normal.jpg
4,ENFJ,,tanishatray4,,,,,,,,,,,,,,http://pbs.twimg.com/profile_images/979293111078694915/rVumkcIz_normal.jpg
5,ENFJ,,100YrLifeStyle,,,Long Beach CA,,,,,,,,,,,http://pbs.twimg.com/profile_images/969153267589509120/rd16kqk-_normal.jpg
6,ENFJ,,Ally_759_,,,,,,,,,,,,,,http://pbs.twimg.com/profile_images/1134708984357822464/1Yoac8GK_normal.jpg
7,ENFJ,,craigymcmillan,,,"London, England",,,,,,,,,,,http://pbs.twimg.com/profile_images/1148650599031934976/O2N6RbN6_normal.jpg
8,ENFJ,,kamidenks,,,22 ; icon by @ouyajuice !,,,,,,,,,,,http://pbs.twimg.com/profile_images/1146265276591349760/RmlK6B8g_normal.jpg
9,ENFJ,,luikaOJO,,,Indonesia,,,,,,,,,,,http://pbs.twimg.com/profile_images/1138378944934076416/yWREGxeH_normal.jpg
10,ENFJ,,sweetlittlelamb,,,Montreal,,,,,,,,,,,http://pbs.twimg.com/profile_images/648920854169026560/v1vkhPhx_normal.jpg
11,ENFJ,,MBTIhorsewomen,,,Da Cronx,,,,,,,,,,,http://pbs.twimg.com/profile_images/1042861917637943296/X_8sHe3i_normal.jpg
12,ENFJ,,EngineerDiet,,,"Nieuwegein, Nederland",,,,,,,,,,,http://pbs.twimg.com/profile_images/881738626983505920/L94HR_Bv_normal.jpg
13,ENFJ,,SoniaKJoyCoach,,,"ÜT: 42.643781,-71.305702",,,,,,,,,,,http://pbs.twimg.com/profile_images/702660403130736644/hh2yjXqw_normal.jpg
14,ENFJ,,characternugget,,,,,,,,,,,,,,http://pbs.twimg.com/profile_images/688085359616475136/P_UsTT9g_normal.jpg
15,ENFJ,,italItoowell,,,loft 89,,,,,,,,,,,http://pbs.twimg.com/profile_images/1135041614907416576/umJyf5kK_normal.jpg
16,ENFJ,,JennSoehnlin,,,"Virginia, USA",,,,,,,,,,,http://pbs.twimg.com/profile_images/765687974776496128/jOJZFUNT_normal.jpg
17,ENFJ,,liztai,,,Kuala Lumpur City,,,,,,,,,,,http://pbs.twimg.com/profile_images/1117240622841077760/6t0fv-_1_normal.jpg
18,ENFJ,,GrasveBon,,,,,,,,,,,,,,http://pbs.twimg.com/profile_images/1140114590367473665/JAdKhbyn_normal.jpg
19,ENFJ,,redshoes721,,,Canada,,,,,,,,,,,http://pbs.twimg.com/profile_images/556672652027236353/1_1IJjgf_normal.jpeg
20,ENFJ,,mippetNeFi,,,"Las Vegas, NV",,,,,,,,,,,http://pbs.twimg.com/profile_images/1117672692348358656/bZJnckN6_normal.jpg
21,ENFJ,,BradyDextrous,,,"Sartell, MN",,,,,,,,,,,http://pbs.twimg.com/profile_images/1065729497855479808/gHEqsm0g_normal.jpg
22,ENFJ,,Amy63169165,,,"Gilbert, AZ",,,,,,,,,,,http://pbs.twimg.com/profile_images/1055550829791449089/sIBX2BD-_normal.jpg
23,ENFJ,,ganondork_249,,,she/her | hufflepuff,,,,,,,,,,,http://pbs.twimg.com/profile_images/1146881644630106119/Zjo-WuSC_normal.jpg
24,ENFJ,,yak_dad,,,"Cleveland, OH",,,,,,,,,,,http://pbs.twimg.com/profile_images/1003068321451741184/mVUT-tam_normal.jpg
25,ENFJ,,MissKatharos,,,,,,,,,,,,,,http://pbs.twimg.com/profile_images/974143812015566850/5TpVM7QE_normal.jpg
26,ENFJ,,infjsforums,,,UK,,,,,,,,,,,http://pbs.twimg.com/profile_images/993156136/Milly_normal.png
27,ENFJ,,Kagendo__,,,"Nairobi, Kenya",,,,,,,,,,,http://pbs.twimg.com/profile_images/1146865581477568513/m09LlmEw_normal.jpg
28,ENFJ,,SandraSchehl,,,"Silvis, IL Quad Cities area",,,,,,,,,,,http://pbs.twimg.com/profile_images/1016148010332540928/N2Fivzui_normal.jpg
29,ENFJ,,ESFPdiscourSe,,,,,,,,,,,,,,http://pbs.twimg.com/profile_images/1121268121774563328/gSxPp-mC_normal.jpg
30,ENFJ,,RedheadLotte,,,"North Brabant, The Netherlands",,,,,,,,,,,http://pbs.twimg.com/profile_images/1110554018575724549/UZUSk5cK_normal.jpg
31,ENFJ,,Special_Alaa,,,Oman,,,,,,,,,,,http://pbs.twimg.com/profile_images/1116761920298610689/WhI8FEfl_normal.jpg
32,ENFJ,,creativesarahv,,,east hunsbury,,,,,,,,,,,http://pbs.twimg.com/profile_images/877282321241694208/Mf06fN2Q_normal.jpg
33,ENFJ,,joelafiosca,,,Atlanta,,,,,,,,,,,http://pbs.twimg.com/profile_images/1121872884920614912/fTJrkJX8_normal.png
34,ENFJ,,pizzasluu,,,"Brampton, Ontario",,,,,,,,,,,http://pbs.twimg.com/profile_images/1137133062578458624/2Q6YTypl_normal.jpg
35,ENFJ,,EmsAdventure,,,It's either this or that way,,,,,,,,,,,http://pbs.twimg.com/profile_images/1146937675225751553/-W4cPDz__normal.jpg
36,ENFJ,,Mrs_Type,,,Germany,,,,,,,,,,,http://pbs.twimg.com/profile_images/1110857856495030273/UMzcj-Bx_normal.jpg
37,ENFJ,,mattnightingale,,,"Sonoma County, CA",,,,,,,,,,,http://pbs.twimg.com/profile_images/1143602799550189569/76oEpaT-_normal.png
38,ENFJ,,LadyINFJ,,,,,,,,,,,,,,http://pbs.twimg.com/profile_images/1100053386563600384/yxVMMpA0_normal.jpg
39,ENFJ,,OumniaEk,,,"Berlin, Germany",,,,,,,,,,,http://pbs.twimg.com/profile_images/1109938565104971776/GQxo5b6M_normal.jpg
40,ENFJ,,meIanieslaurent,,,🇫🇷,,,,,,,,,,,http://pbs.twimg.com/profile_images/1140432451166232577/gcAS2rFk_normal.png
41,ENFJ,,supershigi,,,Enhasa,,,,,,,,,,,http://pbs.twimg.com/profile_images/664213183045873664/--gcfbic_normal.jpg
42,ENFJ,,emilydawn_14,,,denial,,,,,,,,,,,http://pbs.twimg.com/profile_images/1140328115354423296/lL_hwdhZ_normal.jpg
43,ENFJ,,UUXMNR,,,"Pigtown, Baltimore, MD",,,,,,,,,,,http://pbs.twimg.com/profile_images/1126688685531877377/Le3ZeUQw_normal.png
44,ENFJ,,BaraHussam,,,,,,,,,,,,,,http://pbs.twimg.com/profile_images/1146050861023584256/d8T5U7_Z_normal.jpg
45,ENFJ,,_chaoticawesome,,,,,,,,,,,,,,http://pbs.twimg.com/profile_images/1117141977525571585/w6djFiE4_normal.jpg
46,ENFJ,,BandanabroOne,,,"Michigan, USA",,,,,,,,,,,http://pbs.twimg.com/profile_images/1139888962770784256/AzfT7x6P_normal.png
47,ENFJ,,Greenpeniwrite,,,"Maryland, USA",,,,,,,,,,,http://pbs.twimg.com/profile_images/1140418231091564544/-j5Mbc_g_normal.jpg
48,ENFJ,,Mrs_Type,,,Germany,,,,,,,,,,,http://pbs.twimg.com/profile_images/1110857856495030273/UMzcj-Bx_normal.jpg
49,ENFJ,,EllenStonaker,,,"New Orleans, LA",,,,,,,,,,,http://pbs.twimg.com/profile_images/1109235729744441346/iDr2gtjg_normal.jpg
50,ENFJ,,iArnelTolete,,,"Naga City, Bicol Region",,,,,,,,,,,http://pbs.twimg.com/profile_images/1147157127967805441/emrh9Vgh_normal.jpg
51,ENFJ,,h4sy4,,,Malaysia,,,,,,,,,,,http://pbs.twimg.com/profile_images/1142683522399760385/otjpFdWr_normal.jpg
52,ENFJ,,danastfilm,,,Submerged in my subconsious,,,,,,,,,,,http://pbs.twimg.com/profile_images/1137432801618419714/DXmWpt-k_normal.jpg
53,ENFJ,,HeidiPriebe1,,,"Toronto, Ontario",,,,,,,,,,,http://pbs.twimg.com/profile_images/1120427091881791488/8hodgr-K_normal.jpg
54,ENFJ,,pharmd23,,,,,,,,,,,,,,http://pbs.twimg.com/profile_images/1115698767766925313/easztw_4_normal.jpg
55,ENFJ,,brooklynfred13,,,"Florida, USA",,,,,,,,,,,http://pbs.twimg.com/profile_images/1072540229700124675/zXn8IdpA_normal.jpg
56,ENFJ,,SandraSchehl,,,"Silvis, IL Quad Cities area",,,,,,,,,,,http://pbs.twimg.com/profile_images/1016148010332540928/N2Fivzui_normal.jpg
57,ENFJ,,nairuichng,,,"Glasgow, Scotland",,,,,,,,,,,http://pbs.twimg.com/profile_images/593900624854540288/iq4u9nQD_normal.jpg
58,ENFJ,,infjsforums,,,UK,,,,,,,,,,,http://pbs.twimg.com/profile_images/993156136/Milly_normal.png
59,ENFJ,,elliottpaigee,,,she/her,,,,,,,,,,,http://pbs.twimg.com/profile_images/1148478344918233088/QzhPQDQI_normal.jpg
60,ENFJ,,Love_anime4life,,,,,,,,,,,,,,http://pbs.twimg.com/profile_images/1021958123202830336/OGEIgu9U_normal.jpg
61,ENFJ,,sugar_lizard,,,,,,,,,,,,,,http://pbs.twimg.com/profile_images/1127752214070665216/z9Ru55Oy_normal.jpg
62,ENFJ,,StephiHill,,,Making love in the green grass,,,,,,,,,,,http://pbs.twimg.com/profile_images/1149023577850699776/fVRdo3Q8_normal.jpg
63,ENFJ,,MercuryMantra,,,Mercury ,,,,,,,,,,,http://pbs.twimg.com/profile_images/1145446368506449920/xA84loUL_normal.jpg
64,ENFJ,,Mrs_Type,,,Germany,,,,,,,,,,,http://pbs.twimg.com/profile_images/1110857856495030273/UMzcj-Bx_normal.jpg
65,ENFJ,,tuxeedocookie,,,,,,,,,,,,,,http://pbs.twimg.com/profile_images/1102805595156107264/1NAmHjIU_normal.jpg
66,ENFJ,,darkcyradis,,,,,,,,,,,,,,http://pbs.twimg.com/profile_images/1108570623175909376/fNeLGXac_normal.jpg
67,ENFJ,,bpdgirly,,,United States,,,,,,,,,,,http://pbs.twimg.com/profile_images/1053134999925547008/y6UIj_-V_normal.jpg
68,ENFJ,,thatjonpilatkid,,,,,,,,,,,,,,http://pbs.twimg.com/profile_images/947278301466415104/HJOM9pKO_normal.jpg
69,ENFJ,,swabby76,,,,,,,,,,,,,,http://pbs.twimg.com/profile_images/1015353628314365952/QOrwPje6_normal.jpg
70,ENFJ,,breadenemy,,,jackie - 21 - she/her,,,,,,,,,,,http://pbs.twimg.com/profile_images/1147272781618458627/bTS2RXZH_normal.jpg
71,ENFJ,,JuliannSalinas,,,"Albuquerque, NM",,,,,,,,,,,http://pbs.twimg.com/profile_images/955226365573218304/GcJokARp_normal.jpg
72,ENFJ,,pseudosimone,,,"Lincoln, NE / Madison, SD",,,,,,,,,,,http://pbs.twimg.com/profile_images/1141012771582201856/yrvo79KT_normal.jpg
73,ENFJ,,_Dark_Core_,,,Pakistan,,,,,,,,,,,http://pbs.twimg.com/profile_images/1098844516411420672/U3LHNrpw_normal.jpg
74,ENFJ,,idrenza,,,Alpha Ursae Minoris,,,,,,,,,,,http://pbs.twimg.com/profile_images/1109421488967307265/lF4c-hVm_normal.jpg
75,ENFJ,,alexacrozier,,,Calgary Alberta ,,,,,,,,,,,http://pbs.twimg.com/profile_images/1137051218205765632/afpDMXZ2_normal.jpg
76,ENFJ,,jojosepiphany,,,"Baltimore, MD",,,,,,,,,,,http://pbs.twimg.com/profile_images/1134135997992714240/0BW8KL8__normal.jpg
77,ENFJ,,minyoonginoona,,,"BTS Supermarket, KL",,,,,,,,,,,http://pbs.twimg.com/profile_images/1146769351099338753/RAWa16qv_normal.jpg
78,ENFJ,,the_town_crier,,,nyc,,,,,,,,,,,http://pbs.twimg.com/profile_images/788953010164600832/fNBuhbI-_normal.jpg
79,ENFJ,,DHFrisby,,,Boulder,,,,,,,,,,,http://pbs.twimg.com/profile_images/609810151743164416/78rbyRoc_normal.jpg
80,ENFJ,,infpmusing,,,anywhere but here,,,,,,,,,,,http://pbs.twimg.com/profile_images/877327860901400581/Pk6ZutiB_normal.jpg
81,ENFJ,,howoojeong,,,coups' gluteus maximus,,,,,,,,,,,http://pbs.twimg.com/profile_images/1145672372910841856/-HXfTt8__normal.jpg
82,ENFJ,,myrangelica,,,Middle Earth,,,,,,,,,,,http://pbs.twimg.com/profile_images/1110865438290989057/7J2vjrUx_normal.jpg
83,ENFJ,,meister_shyster,,,"Connecticut, USA",,,,,,,,,,,http://pbs.twimg.com/profile_images/1113973059864748034/UYqohhh6_normal.jpg
84,ENFJ,,DavidLeegarlock,,,"Pennsylvania, USA",,,,,,,,,,,http://pbs.twimg.com/profile_images/717502398932058112/m6eBnY18_normal.jpg
85,ENFJ,,thymelord18,,,"Wisconsin, USA",,,,,,,,,,,http://pbs.twimg.com/profile_images/1099388530869129217/ItQFVsCI_normal.jpg
86,ENFJ,,Kathrynclang,,,World Dominator and Hopesmith,,,,,,,,,,,http://pbs.twimg.com/profile_images/1071254922241499136/F5csxWQg_normal.jpg
87,ENFJ,,_jasminetay,,,"New York, USA",,,,,,,,,,,http://pbs.twimg.com/profile_images/1077647976997171200/hGGGmvH3_normal.jpg
88,ENFJ,,alvarmp1,,,"Ciudad Autónoma de Buenos Aires, Argentina",,,,,,,,,,,http://pbs.twimg.com/profile_images/1102360315428257797/41KdAMm3_normal.jpg
89,ENFJ,,Canny4,,,"Town and Country, MO",,,,,,,,,,,http://pbs.twimg.com/profile_images/742330039635582976/mQonGQi6_normal.jpg
90,ENFJ,,ImperfectpoetTG,,,United States,,,,,,,,,,,http://pbs.twimg.com/profile_images/1133316664810987520/ri6cPncb_normal.jpg
91,ENFJ,,Kennalea,,,"Missouri, USA",,,,,,,,,,,http://pbs.twimg.com/profile_images/734472600848470016/ka_LCw-h_normal.jpg
