username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019-04-28 14:58;0;2;"i am an ... isFp";;;;"1122621046333423616";https://twitter.com/ohDOsko/status/1122621046333423616
;2019-04-27 03:57;0;0;"Well I take back what I said I did the test and I am no longer an INFP, I did 2 different test and they said that I was either an ISFJ-T or an ISFP .";;;;"1122092412996919297";https://twitter.com/nara_chan78/status/1122092412996919297
;2019-04-23 03:48;0;0;"Because I’ve been awake for almost an hour because of anxiety... I did the test again and I knew it. I’ve changed. I am ISFP now. And it suits me way too much.";;;;"1120640481954881537";https://twitter.com/daraxpon/status/1120640481954881537
;2019-04-15 14:42;0;0;"literally Just retook the test and found out i am now an isfp";;;;"1117905963455877120";https://twitter.com/mineralyoongi/status/1117905963455877120
;2019-04-13 04:13;0;2;"Fi can invalidate Ti by not focusing on accuracy or objectivity when objectivity is needed. I see your point, and I've felt invalidated by Ti (as I am an Fi dom), but I'm trying not to view it negatively.";;;;"1117022919681544192";https://twitter.com/KiddKitchen/status/1117022919681544192
;2019-04-12 14:43;0;1;"maybe i am an isfp after all https:// twitter.com/goyourownwei/s tatus/1116034624990273536 …";;;;"1116819267310297095";https://twitter.com/shitsbitchin/status/1116819267310297095
;2019-04-11 02:44;0;0;"I am having a sweet and original dream that an ardently passionate ISFP clubwoman, wearing her burgundy velvet kimono, affectionately kisses the cheek of a placid flaxen chestnut Norwegian Fjord Horse.";;;;"1116275891653554176";https://twitter.com/MBTIhorsewomen/status/1116275891653554176
;2019-04-08 21:17;0;2;"Last time I took 16Personalities I got ENFJ-A lol (which is how I found out I'm an INFJ I just know for certain that I am an introvert) but yeah I've gotten ISFP , INFP, ENFP, and ENFJ on that test! It's wild, none of the descriptions felt like they fit";;;;"1115468672137433088";https://twitter.com/emilydawn_14/status/1115468672137433088
;2019-04-02 19:10;0;1;"ISFPs are weird. My younger sister is an ISFP ( I am an INTJ). I also have an INFP younger brother, another INFJ sister (who died several years ago), ESTJ father, ISFJ mother...yadda, yadda, yadda (truncates the list.) The irony is understanding my ISFP sister is the hardest";;;;"1113262589830729729";https://twitter.com/Roland00Address/status/1113262589830729729
;2019-04-02 04:43;0;3;"Just done that personally type quiz with the careers service today and I guess it's official, I'm an ISFP , I am the perfect companion, so why am I still single";;;;"1113044368745730048";https://twitter.com/WuffleWolf/status/1113044368745730048
;2019-03-30 17:13;0;0;"I am honestly an ISFP Aries";;;;"1112145868759724033";https://twitter.com/malnote/status/1112145868759724033
