username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019-04-28 00:43;0;2;"I was ISTJ the first time I took the test around age 13, but I think I'm borderline between ISTJ (the typical engineer personality, and I am an engineer) and ISFJ";;;;"1122405965993631744";https://twitter.com/Gymtertainment/status/1122405965993631744
;2019-04-27 10:17;0;0;"@Vegan714 I took the MBTI 5 years ago and I am an ISTJ . I'd like to take it again as I've tried to make changes and would rather that J be a P.";;@Vegan714;;"1122187959111827456";https://twitter.com/Want2BSpaceWmn/status/1122187959111827456
;2019-04-27 09:05;1;1;"Have you ever taken the #MyersBriggs test? Are you an #ISTJ , like I am ? ISTJ 's tend to be great rule followers and #guideline creators. So if you are a #health #coaching client that is looking for #structure and #accountability , I AM your coach! #Autoimmune #Crohns #IBD #Thyroid pic.twitter.com/XXz7MoOgtb";;;#MyersBriggs #ISTJ #guideline #health #coaching #structure #accountability #Autoimmune #Crohns #IBD #Thyroid;"1122169791471587330";https://twitter.com/AmandaGoodwinHC/status/1122169791471587330
;2019-04-26 17:22;0;2;"I am an #ISTJ but female........what about that?";;;#ISTJ;"1121932706760273922";https://twitter.com/diaruba74/status/1121932706760273922
;2019-04-23 23:36;0;0;"I am not a stalker...it’s best to use technical invitations. I prefer structured invites as I am an ISTJ .";;;;"1120939500543168512";https://twitter.com/RyanWilsonKing/status/1120939500543168512
;2019-04-20 18:15;0;0;"Have you ever taken the #MyersBriggs test? Are you an #ISTJ , like I am ? ISTJ 's tend to be great rule followers and #guideline creators. So if you are a #health #coaching client that is looking for #structure and #accountability , I AM your coach! #Autoimmune #Crohns #IBD #Thyroid pic.twitter.com/VyCLXnPo3s";;;#MyersBriggs #ISTJ #guideline #health #coaching #structure #accountability #Autoimmune #Crohns #IBD #Thyroid;"1119771492584128512";https://twitter.com/AmandaGoodwinHC/status/1119771492584128512
;2019-04-16 14:00;0;1;"Have you ever taken the #MyersBriggs test? Are you an #ISTJ , like I am ? ISTJ 's tend to be great rule followers and #guideline creators. So if you are a #health #coaching client that is looking for #structure and #accountability , I AM your coach! #Autoimmune #Crohns #IBD #Thyroid pic.twitter.com/FWVNv72b6B";;;#MyersBriggs #ISTJ #guideline #health #coaching #structure #accountability #Autoimmune #Crohns #IBD #Thyroid;"1118257837925437440";https://twitter.com/AmandaGoodwinHC/status/1118257837925437440
;2019-04-14 00:30;0;9;"couple things. 1) the meyers briggs episode of @heyriddleriddle was literally made for me, 2) im also an infp-t and CALLED IT for @adalrifai , and 3) @JPsoFLY is literally the only istj /estj i like i am shook to my core. thank you for indulging my need to know everyone's type";;@heyriddleriddle @adalrifai @JPsoFLY;;"1117329187172257795";https://twitter.com/coldwarkiddos/status/1117329187172257795
;2019-04-13 09:20;0;16;"heres the deal. im an ISTJ . im ox. im taurus sun/virgo moon. when i did a dnd alignment test i got lawful good human paladin. i am one of the most boring people you will ever meet";;;;"1117100203285180416";https://twitter.com/wristbow/status/1117100203285180416
;2019-04-11 03:01;0;3;"Thank you for all the likes RT and replies! It makes me happy that people can relate to those cute characters. Thank you for sharing this with your friends and sorry about the mistakes! I am Army, as an ISTJ I love Order, rules, efficiency and practical things.";;;;"1116280195449806848";https://twitter.com/clau_babu/status/1116280195449806848
;2019-04-10 16:15;0;1;"As an ISTJ I am scared to leave my daily routine and feel easily pressured just like Army (in fact, I relate to him the most) he's good at always doing the same things just like curry but he wants to get better at it. Also ISTJ hates being late and they love rules and control";;;;"1116117579632914433";https://twitter.com/clau_babu/status/1116117579632914433
;2019-04-08 23:31;0;3;"i just redid the 16personalities test and it says that i am an istj so logically, i am doing it again because i refuse to believe that my personality has changed from an istp to an istj";;;;"1115502487102992384";https://twitter.com/glwyndower/status/1115502487102992384
;2019-04-08 15:00;0;0;"Have you ever taken the #MyersBriggs test? Are you an #ISTJ , like I am ? ISTJ 's tend to be great rule followers and #guideline creators. So if you are a #health #coaching client that is looking for #structure and #accountability , I AM your coach! #Autoimmune #Crohns #IBD #Thyroid pic.twitter.com/tdBf3xRoT5";;;#MyersBriggs #ISTJ #guideline #health #coaching #structure #accountability #Autoimmune #Crohns #IBD #Thyroid;"1115373781470593025";https://twitter.com/AmandaGoodwinHC/status/1115373781470593025
;2019-04-08 08:25;0;1;"I prefer predictive indicators over mbti. I am an INTJ and occasionally the rest will flip me to ISTJ . Their reasoning is that it’s a spectrum always felt like BS.";;;;"1115274478009950209";https://twitter.com/jbrodley/status/1115274478009950209
;2019-04-07 15:17;0;2;"So I took the test a while back and it told me I am an ISTJ . I've been meaning to retake the test but never got around to it. Any advice for my alleged type? I see you post about the Myers-Briggs types all the time lol.";;;;"1115015835356209152";https://twitter.com/suite_dee/status/1115015835356209152
